id,name,type,category,edge_count,created_from,edge_types,evidence_snippet,decision
1276,Bei Xiao,person,Academic,1,American University,employed_by,College of Arts and Sciences Professor Bei Xiao of the Department of Computer Science,
1317,Block Center for Technology and Society,organization,Academic,1,Responsible AI Initiative,affiliated,"Responsible AI, as it's called, is an initiative out of the Oakland-based university's Block Center for Technology and Society with support from faculty in the School of Computer Science and members of the Dean's Office staff.",
1566,Bryan Parno,person,Academic,1,Beneficial AI Foundation,collaborator,## Bryan Parno Carnegie Mellon University,
1284,Carol L. Folt,person,Academic,1,USC,employed_by,USC President Carol L. Folt launched a $1 billion-plus initiative to expand and infuse advanced computing,
1675,Charles University,organization,Academic,1,Alignment of Complex Systems Research Group (ACS),affiliated,The Alignment of Complex Systems Research Group (ACS; https://acsresearch.org/) is an interdisciplinary research group at Charles University,
1191,City University of New York,organization,Academic,1,Columbia University,collaborator,"ARNI is a collaboration between Columbia, Baylor College of Medicine, City University of New York, Harvard, Princeton, Howard Hughes Medical Institute, Mila Quebec AI Institute, Tuskegee University, the University of Pennsylvania, and UTHealth Houston",
1435,Collège de France,organization,Academic,1,Yann LeCun,affiliated,"In 2016, he was appointed to the Collège de France chair",
1313,"College of Computing, Data Science, and Society",organization,Academic,1,Berkeley Institute for Data Science,subsidiary_of,"As an integral part of UC Berkeley's College of Computing, Data Science, and Society (CDSS)",
1176,College of Connected Computing,organization,Academic,1,Vanderbilt University,subsidiary_of,Vanderbilt University's College of Connected Computing has launched the Amplify Generative AI Innovation Center,
1444,Columbia Law School,organization,Academic,1,Tim Wu,employed_by,"Tim has since returned to Columbia Law School, where he is the Julius Silver Professor of Law, Science and Technology",
1363,Cornell University,organization,Academic,3,Alex Bores; Regina Barzilay; Yejin Choi,affiliated; former_colleague,"He earned a Bachelor of Science in Industrial & Labor Relations from Cornell University and a Master of Science in computer science from Georgia Tech. | After her PhD, she spent a year as a postdoctoral researcher at Cornell University | Choi moved to the United States, where she joined Cornell Univ",
1175,Daniel Diermeier,person,Academic,1,Vanderbilt University,employed_by,Chancellor Daniel Diermeier said,
1201,Danielle Li,person,Academic,2,Erik Brynjolfsson; MIT Sloan,collaborator; employed_by,"Erik Brynjolfsson, Danielle Li, and Lindsey Raymond (2025) | Danielle Li is the David Sarnoff Professor of Management of Technology and a Professor at the MIT Sloan School of Management",
1245,Daphne Koller,person,Academic,1,Coursera,founded,Coursera was founded by two Stanford University computer science professors: Andrew Ng and Daphne Koller.,
1171,Darden School of Business,organization,Academic,1,University of Virginia,subsidiary_of,"UVA's Board of Visitors approved the new institute's name on Friday, establishing the LaCross Institute for Ethical Artificial Intelligence in Business.",
1188,Dartmouth College,organization,Academic,1,Brown University,partner_of,ARIA's research team includes experts from leading research institutions nationwide including Colby College; Dartmouth College; New York University; Carnegie Mellon University,
1273,David Marchick,person,Academic,1,American University,employed_by,Kogod School of Business Dean David Marchick,
1518,Dewey Murdick,person,Academic,1,Center for Security and Emerging Technology (CSET),employed_by,"said the center's director, Dr. Dewey Murdick.",
1269,Dr. Ian McCulloh,person,Academic,1,Johns Hopkins University,employed_by,"Dr. Ian McCulloh Director of AI Executive & Professional Education, Johns Hopkins University",
1186,Ellie Pavlick,person,Academic,1,Brown University,employed_by,"Computer scientist Ellie Pavlick, who will lead the Brown-based institute",
1316,Emory AI Group,organization,Academic,1,Responsible AI Initiative,partner_of,"The site represents a major milestone in the university's enterprise-wide Responsible AI initiative, a multi‑year effort led by the Emory AI Group with input from the Responsible AI Executive Governance Committee and partners across Emory University and Emory Healthcare.",
1315,Emory University,organization,Academic,1,Responsible AI Initiative,affiliated,"The site represents a major milestone in the university's enterprise-wide Responsible AI initiative, a multi‑year effort led by the Emory AI Group with input from the Responsible AI Executive Governance Committee and partners across Emory University and Emory Healthcare.",
1289,Eric Bradlow,person,Academic,1,Wharton School,employed_by,"said Eric Bradlow, Vice Dean of AI & Analytics at Wharton",
1286,Erika James,person,Academic,1,Wharton School,employed_by,"said Erika James, Dean of the Wharton School",
1187,Francis J. Doyle III,person,Academic,1,Brown University,employed_by,said Brown University Provost Francis J. Doyle III,
1441,Gabriel Unger,person,Academic,1,Erik Brynjolfsson,collaborator,"ERIK BRYNJOLFSSON, GABRIEL UNGER",
1282,Geoff Garrett,person,Academic,1,USC,employed_by,"Geoff Garrett, Dean, USC Marshall School of Business",
1480,George Mason University,organization,Academic,1,Don Beyer,affiliated,"He is currently attending George Mason University as a part time student pursuing a master's degree in machine learning, in part to help inform his work on AI in Congress",
1291,Giles Hooker,person,Academic,1,Wharton School,employed_by,Professor of Statistics and Data Science Giles Hooker will serve as faculty advisors,
1274,Gwanhoo Lee,person,Academic,1,American University,employed_by,"Kogod Professor Gwanhoo Lee, an AI innovation and transformation expert, will lead the institute",
1389,Harvard Faculty of Arts and Sciences,organization,Academic,1,Latanya Sweeney,employed_by,She is the Daniel Paul Professor of the Practice of Government and Technology at the Harvard Kennedy School and in the Harvard Faculty of Arts and Sciences at Harvard University,
1210,HEC Montréal,organization,Academic,3,Mila; Mila - Quebec Artificial Intelligence Institute; Université de Montréal,affiliated; partner_of,"in close collaboration with Polytechnique Montréal and HEC Montréal | Mila is the result of a unique collaboration between Université de Montréal and McGill University, in close collaboration with Polytechnique Montréal and HEC Montréal | As of 2017, the Université de Montréal has 16 faculties and t",
1391,"Indian Institute of Technology, Kanpur",organization,Academic,1,Sayash Kapoor,affiliated,he earned his bachelor of technology in computer science from the Indian Institute of Technology Kanpur,
1450,Jeff Hancock,person,Academic,1,Yejin Choi,collaborator,"During my time at Stony Brook University, I collaborated with Jeff Hancock, Founding Director of Stanford's Social Media Lab, to create an NLP model",
1711,John Bargh,person,Academic,1,AE Studio,advises,"John Bargh is a social psychologist and professor at Yale University, where he has formed the Automaticity in processing as a method to better understand social behavior, and is particularly well-known for his research on priming. He is now turning to LLMs, and is an advisor to some of AE's Alignmen",
1388,John Etchemendy,person,Academic,1,Fei-Fei Li,co_founded_with,"She became the founding co-director of Stanford's University-level initiative - the Human-Centered AI Institute, along with co-director Dr. John Etchemendy, former provost of Stanford University",
1267,Johns Hopkins Applied Physics Laboratory,organization,Academic,1,Johns Hopkins University,affiliated,"With the expertise of the Johns Hopkins Applied Physics Lab, we've developed one of the nation's first online artificial intelligence master's programs",
1451,John Tasioulas,person,Academic,1,Yejin Choi,collaborator,Collaborating with moral philosophers like John Tasioulas at University of Oxford on AI's moral decision making sparked my interest,
1173,Jules White,person,Academic,1,Vanderbilt University,employed_by,Center Director and Professor of Computer Science Jules White,
1287,Kartik Hosanagar,person,Academic,1,Wharton School,employed_by,"Kartik Hosanagar, PhD See Faculty Bio John C. Hower Professor; Professor of Operations, Information and Decisions, The Wharton School",
1199,Kate Kellogg,person,Academic,1,MIT Sloan,employed_by,Kate Kellogg is the David J. McGrath Jr. Professor of Management and Innovation at the MIT Sloan School of Management.,
1673,Kate Larson,person,Academic,1,Cooperative AI Summer School,affiliated,"Kate Larson's talk explored cooperative game theory, looking at groups of self-interested agents working in coalitions",
1133,Kempner Institute,organization,Academic,1,Harvard University,affiliated,"The Kempner Institute is bringing researchers across disciplines like computational theory, AI and machine learning, neuroscience, and cognitive science together to develop next generation AI systems.",
1288,Kevin Werbach,person,Academic,1,Wharton School,employed_by,"This course is led by Professor Kevin Werbach, director of the newly established Accountable AI Lab",
1145,Kyunghyun Cho,person,Academic,1,New York University,employed_by,Professor Kyunghyun Cho,
1318,Manish Parashar,person,Academic,1,Responsible AI Initiative,employed_by,"Manish Parashar, Ph.D. Inaugural Chief Artificial Intelligence Officer, Director of the Scientific Computing and Imaging (SCI) Institute, Chair in Computational Science and Engineering, and Presidential Professor in the Kahlert School of Computing, University of Utah",
1177,Matthew Johnson-Roberson,person,Academic,1,Vanderbilt University,employed_by,"Matthew Johnson-Roberson, dean of the College of Connected Computing",
1452,Matt Salganik,person,Academic,1,Arvind Narayanan,collaborator,"my ability to collaborate with experts in other disciplines, like sociologist Matt Salganik",
1331,McGill Centre for Intelligent Machines,organization,Academic,1,McGill University,subsidiary_of,"Centre for Intelligent Machines is a world leader in research on intelligent systems. They work in domains such as robotics, artificial intelligence, computer vision, medical imaging, haptics, systems and control, computer animation, and reinforcement learning",
1332,McGill Collaborative for AI and Society,organization,Academic,1,McGill University,subsidiary_of,The McGill Collaborative for AI and Society (McCAIS) aims to understand the impact of AI on society and develop evidence-based best practices for its responsible use. ​A strategic initiative of CDSI,
1341,Michael J. Berry,person,Academic,1,Dario Amodei,mentored_by,"Doctoral advisor: Michael J. Berry, William Bialek",
1613,Michael Osborne,person,Academic,1,Oxford Martin AI Governance Initiative,employed_by,Michael Osborne Professor of Machine Learning,
1672,Michael P. Wellman,person,Academic,1,Cooperative AI Summer School,affiliated,Michael P. Wellman is Lynn A. Conway Collegiate Professor of Computer Science & Engineering,
1130,MIT Data to AI Lab,organization,Academic,1,Massachusetts Institute of Technology,subsidiary_of,Data to AI Lab is a research group within the Laboratory for Information and Decision Systems. We are part of the MIT Schwarzman College of Computing,
1361,MIT Jameel Clinic,organization,Academic,1,Regina Barzilay,employed_by,AI Faculty Lead at MIT Jameel Clinic,
1132,MIT Schwarzman College of Computing,organization,Academic,1,Massachusetts Institute of Technology,subsidiary_of,"Jointly led by the MIT Morningside Academy for Design, MIT Schwarzman College of Computing, and the Hasso Plattner Institute in Potsdam",
1141,Neil Lawrence,person,Academic,1,University of Cambridge,employed_by,"Neil Lawrence is the inaugural DeepMind Professor of Machine Learning at the University of Cambridge where he leads the University's flagship mission on AI, AI@Cam",
1234,NYU School of Medicine,organization,Academic,1,Facebook AI Research (FAIR),partner_of,"And 2018 marked the beginning of fastMRI, a long-term collaboration with NYU School of Medicine to improve diagnostic imaging technology, starting with accelerating MRI scans by as much as 10x",
1137,Olga Troyanskaya,person,Academic,1,Princeton University,employed_by,Olga Troyanskaya Link is external Director of Princeton Precision Health Maduraperuma/Khot Professor of Computer Science,
1227,People + AI Research,organization,Academic,1,Google Research,affiliated,People + AI Research (PAIR) is a multidisciplinary team at Google,
1398,Philipp Hennig,person,Academic,1,Marius Hobbhahn,mentored_by,Ph.D. in ML in the International Max-Planck Research Program (IMPRS) under the supervision of Philipp Hennig,
1743,Pieter Abbeel,person,Academic,1,Center for Human-Compatible AI (CHAI),employed_by,"CHAI's faculty membership includes Russell, Pieter Abbeel and Anca Dragan from Berkeley",
1209,Polytechnique Montréal,organization,Academic,3,Mila; Mila - Quebec Artificial Intelligence Institute; Université de Montréal,affiliated; partner_of,"in close collaboration with Polytechnique Montréal and HEC Montréal | Mila is the result of a unique collaboration between Université de Montréal and McGill University, in close collaboration with Polytechnique Montréal and HEC Montréal | As of 2017, the Université de Montréal has 16 faculties and t",
1290,Prasanna (Sonny) Tambe,person,Academic,1,Wharton School,employed_by,"Prasanna (Sonny) Tambe, Associate Professor of Operations, Information and Decisions and Co-Director of AI at Wharton",
1584,Princeton AI Lab,organization,Academic,1,Forecasting Research Institute,partner_of,with the support of the Princeton AI Lab,
1197,Richard M. Locke,person,Academic,1,MIT Sloan,employed_by,"Richard M. Locke is the John C Head III Dean at the MIT Sloan School of Management. A scholar of international labor standards and comparative political economy, Locke began his appointment as dean in July 2025.",
1193,Richard Zemel,person,Academic,1,Columbia University,employed_by,"Richard Zemel, the Director of ARNI and the Trianthe Dakolias Professor of Engineering and Applied Science at Columbia Engineering",
1195,Robert J. Jones,person,Academic,1,University of Washington,employed_by,UW President Robert J. Jones,
1255,Robert M. Groves,person,Academic,1,Georgetown University,employed_by,Robert M. Groves Interim President,
1200,Roberto Rigobon,person,Academic,1,MIT Sloan,employed_by,Roberto Rigobon is the Society of Sloan Fellows Professor of Applied Economics at the MIT Sloan School of Management,
1559,Robert Trager,person,Academic,2,Modeling Cooperation; Oxford Martin AI Governance Initiative,collaborator; employed_by,we at Modeling Cooperation announced our new web app SPT Model—an interactive tool to explore a model of AI competition built in collaboration with Professor Robert Trager. | Robert Trager Director,
1489,Rodney Brooks,person,Academic,1,Lynne Parker,mentored_by,"Her dissertation, Heterogeneous Multi-Robot Cooperation, was supervised by Rodney Brooks",
1144,Saïd Business School,organization,Academic,1,University of Oxford,subsidiary_of,Oxford Artificial Intelligence Programme | Saïd Business School,
1135,Sanjeev Arora,person,Academic,1,Princeton University,employed_by,Sanjeev Arora Link is external Director of Princeton Language and Intelligence Charles C. Fitzmorris Professor of Computer Science,
1256,Scott Strobel,person,Academic,1,Yale University,employed_by,"Yale will commit more than $150 million over the next five years to support faculty, students, and staff as they engage with artificial intelligence (AI), the university announced today. The investment will help the community develop, use, and evaluate AI and apply it to deliver breakthrough researc",
1297,Sebastian Thrun,person,Academic,1,Peter Norvig,collaborator,"He was co-teacher of an Artifical Intelligence class that signed up 160,000 students, helping to kick off the current round of massive open online classes",
1448,Seoul National University,organization,Academic,1,Yejin Choi,affiliated,She attended Seoul National University. After earning a bachelor's degree in Computer Science,
1198,Sinan Aral,person,Academic,1,MIT Sloan,employed_by,"said Sinan Aral, a professor of management, IT, and marketing at MIT Sloan.",
1326,Singapore Management University,organization,Academic,1,Element AI,partner_of,"Element AI had partnerships with GIC, Singapore Management University, the Port of Montreal, LG Electronics, among others",
1271,Speed School of Engineering,organization,Academic,1,University of Louisville,subsidiary_of,Unit:Speed School of Engineering(GS) Department:Bioengineering,
1300,Stanford Law School,organization,Academic,2,Lawrence Lessig; Michael Genesereth,affiliated; employed_by,"Prior to returning to Harvard, he taught at Stanford Law School, where he founded the Center for Internet and Society | Genesereth is professor in the Computer Science Department at Stanford University and a professor by courtesy in the Stanford Law School",
1383,Stanford Vision and Learning Lab,organization,Academic,1,Fei-Fei Li,affiliated,Li is a co-director of the Stanford Vision and Learning Lab,
1447,Stony Brook University,organization,Academic,1,Yejin Choi,employed_by,"After earning her doctorate, Choi joined Stony Brook University as an Assistant Professor of Computer Science",
1742,Stuart J. Russell,person,Academic,1,Center for Human-Compatible AI (CHAI),founded,The center was founded in 2016 by a group of academics led by Berkeley computer science professor and AI expert Stuart J. Russell,
1494,SUNY,organization,Academic,1,Kathy Hochul,collaborator,"In partnership with the State University of New York and building on the work of SUNY's Artificial Intelligence Task Force, Governor Hochul announced",
1202,Swati Gupta,person,Academic,1,MIT Sloan,employed_by,Swati Gupta is the Class of 1947 Career Development Associate Professor and an Associate Professor at the MIT Sloan School of Management in the Operations Research and Statistics Group.,
1671,Tan Zhi Xuan,person,Academic,1,Cooperative AI Summer School,affiliated,"Tan Zhi Xuan is an Assistant Professor in the National University of Singapore, Department of Computer Science, with a joint appointment at the A*STAR Institute of High Performance Computing",
1406,Technische Universität Berlin,organization,Academic,1,Milagros Miceli,employed_by,"I am research lead at the DAIR Institute, head of the Data, Algorithmic Systems, and Ethics research unit at Weizenbaum-Institut, and a lecturer at TU Berlin",
1381,Tejas N. Narechania,person,Academic,1,Ganesh Sitaraman,collaborator,"An Antimonopoly Approach to Governing Artificial Intelligence by Ganesh Sitaraman, Tejas N. Narechania",
1277,Thenkurussi (Kesh) Kesavadas,person,Academic,1,SUNY Albany,employed_by,"said Thenkurussi (Kesh) Kesavadas, UAlbany's vice president for research and economic development.",
1138,Tom Griffiths,person,Academic,1,Princeton University,employed_by,Tom Griffiths: Director,
1407,Universidad de Buenos Aires,organization,Academic,1,Milagros Miceli,affiliated,Formada en sociología en la Universidad de Buenos Aires y doctora en ingeniería informática por una universidad alemana,
1493,University at Buffalo,organization,Academic,1,Kathy Hochul,partner_of,The consortium will leverage a $275 million state investment to create and launch a state-of-the-art artificial intelligence computing center on the University at Buffalo's campus,
1485,"University of California, Los Angeles",organization,Academic,1,Jay Obernolte,affiliated,"an M.S. in Artificial Intelligence from the University of California, Los Angeles (UCLA)",
1656,University of Melbourne,organization,Academic,1,Timaeus,collaborator,"The research Timaeus has conducted over the past four months, in collaboration with Daniel Murfet's group at the University of Melbourne",
1178,University of North Carolina system,organization,Academic,1,Vanderbilt University,partner_of,"Amplify is currently deployed at more than 50 institutions, including the entire University of North Carolina system",
1372,University of Notre Dame,organization,Academic,1,Pete Buttigieg,affiliated,"Former South Bend Mayor and U.S. transportation secretary Pete Buttigeg spoke at Notre Dame today (Friday), returning for the first time since he briefly joined the faculty in 2020",
1285,University of Pennsylvania,organization,Academic,2,Forecasting Research Institute; Wharton School,collaborator; subsidiary_of,"LEAP is led by researchers at the Forecasting Research Institute, Stanford University, the Federal Reserve Bank of Chicago, and the University of Pennsylvania | The Wharton School of the University of Pennsylvania",
1252,University of Pittsburgh,organization,Academic,1,Carnegie Mellon University,partner_of,"Carnegie Mellon University has partnered with NVIDIA and the University of Pittsburgh to establish the NVIDIA AI Tech Community in Pittsburgh, advancing innovation in robotics, autonomy, and AI.",
1486,University of Tennessee,organization,Academic,1,Lynne Parker,employed_by,She is also Associate Vice Chancellor Emerita (retired) and Founding Director of the AI Tennessee Initiative at the University of Tennessee,
1397,University of Tuebingen,organization,Academic,1,Marius Hobbhahn,affiliated,Ph.D. in ML in the International Max-Planck Research Program (IMPRS) under the supervision of Philipp Hennig,
1314,University of Utah,organization,Academic,2,Responsible AI Initiative; Suresh Venkatasubramanian,affiliated; employed_by,"Part of the SCI Institute is the One-U Responsible Artificial Intelligence Initiative (One-U RAI), which aims to advance AI to achieve societal good, all while protecting privacy, civil rights, and civil liberties, and promoting fairness, accountability, and transparency. | Previously, Venkatasubram",
1278,USC Center for AI in Society,organization,Academic,1,USC,subsidiary_of,The University of Southern California Center for AI in Society (CAIS) is a unique collaboration between USC's Suzanne Dworak-Peck School of Social Work and Viterbi School of Engineering,
1281,USC Marshall School of Business,organization,Academic,1,USC,subsidiary_of,"Geoff Garrett, Dean, USC Marshall School of Business",
1283,USC School of Advanced Computing,organization,Academic,1,USC,subsidiary_of,"USC launches computing into the next frontier USC launches $1B-plus initiative for computing including advanced computation, quantum computing, AI and ethics - The Frontiers of Computing initiative includes opening a new School of Advanced Computing",
1279,USC Suzanne Dworak-Peck School of Social Work,organization,Academic,1,USC,subsidiary_of,The University of Southern California Center for AI in Society (CAIS) is a unique collaboration between USC's Suzanne Dworak-Peck School of Social Work and Viterbi School of Engineering,
1280,USC Viterbi School of Engineering,organization,Academic,1,USC,subsidiary_of,The University of Southern California Center for AI in Society (CAIS) is a unique collaboration between USC's Suzanne Dworak-Peck School of Social Work and Viterbi School of Engineering,
1172,UVA Information Technology Services,organization,Academic,1,University of Virginia,subsidiary_of,"Research Computing is part of UVA Information Technology Services, the central service provider for information technology services across the University with over 100 services.",
1405,Weizenbaum Institute,organization,Academic,1,Milagros Miceli,employed_by,"any other academic researcher at the Weizenbaum Institute in Germany, where Miceli is based",
1667,Wichita State University,organization,Academic,1,Intelligence Rising,affiliated,"Intelligence Rising was designed by researchers at University of Cambridge, University of Oxford and Wichita State University",
1342,William Bialek,person,Academic,1,Dario Amodei,mentored_by,"Doctoral advisor: Michael J. Berry, William Bialek",
1532,Yale Law School,organization,Academic,0,,,,
1732,Electric Sheep,organization,AI Safety/Alignment,1,Compassion in Machine Learning (CaML),partner_of,Our Partner Organizations Sentient Futures Electric Sheep,
1351,Eleos AI,organization,AI Safety/Alignment,1,Kyle Fish,co_founded_with,"Prior to joining Anthropic, Fish was already urging AI companies and researchers to seriously consider the issue. In 2024 he co-founded the AI welfare research organization Eleos AI",
1359,Model Evaluation and Threat Research,organization,AI Safety/Alignment,1,Paul Christiano,founded,"He also launched a leading initiative to conduct third-party evaluations of frontier models, now housed at Model Evaluation and Threat Research (METR)",
1542,Radical AI,organization,AI Safety/Alignment,1,Goodfire,partner_of,Goodfire partnered with Radical AI to improve this step in the process using interpretability tools,
1570,SERI-MATS,organization,AI Safety/Alignment,1,Cadenza Labs,affiliated,Cadenza Labs consists of four SERI-MATS alumni.,
1453,Trail of Bits,organization,AI Safety/Alignment,1,Heidy Khlaaf,employed_by,She was previously the Engineering Director of the AI Assurance team at Trail of Bits,
1392,Trust::Data Alliance,organization,AI Safety/Alignment,1,Sandy Pentland,founded,"He also founded the Trust::Data Alliance, an alliance of companies and nations building open-source software that makes AI and data safe, trusted and secure",
1665,Elena Andreicheva,person,Cultural figure,1,Intelligence Rising,founded,"Intelligence Rising (Elena Andreicheva, 2026)",
1456,Melania Trump,person,Cultural figure,1,Randi Weingarten,critic_of,"Randi Weingarten's response was swift and unapologetic. She called Trump's comments 'every parent's nightmare,'",
1458,Adaptive Security,organization,Deployers & Platforms,1,Elliston Berry,collaborator,"Berry helped to create an online training course to teach students, parents and school staff about non-consensual, explicit deepfake image abuse, in partnership with cybersecurity firm Adaptive Security and Pathos Consulting Group",
1225,Alphabet Inc.,organization,Deployers & Platforms,1,Google Research,subsidiary_of,"Google Research (also known as Research at Google) is the research division of Google, a subsidiary of Alphabet Inc.",
1329,Apple,organization,Deployers & Platforms,4,Chris Murphy; Ian Goodfellow; Partnership on AI; Timnit Gebru,critic_of; employed_by; funded_by,"companies like Google and Apple and OpenAI and Anthropic are in a race to deploy consumer-facing, job-killing AGI as quickly as possible, in order to beat each other to the market | director of machine learning at Apple | It was originally established by a coalition of representatives from technolog",
1401,ByteDance,organization,Deployers & Platforms,1,Ed Newton-Rex,employed_by,"At ByteDance, Ed led the AI Music lab, then led Product for TikTok in Europe",
1312,Clarifai,organization,Deployers & Platforms,1,Berkeley Artificial Intelligence Research,partner_of,"Clarifai, a global leader in AI orchestration and development, and pioneer of the full-stack computer vision platform, today announced its membership in the Berkeley Artificial Intelligence Research (BAIR) Lab's Open Research Commons (ORC)",
1240,Cognizant,organization,Deployers & Platforms,1,Palantir,partner_of,Cognizant (NASDAQ: CTSH) announced a strategic partnership with Palantir Technologies Inc. (NASDAQ: PLTR) to accelerate AI-driven modernization across healthcare and enterprise operations,
1179,Darktrace,organization,Deployers & Platforms,1,University College London,partner_of,"UCL maintains strong partnerships with leading AI firms such as NVIDIA, Darktrace, Google DeepMind and Quantexa",
1610,Elicit,organization,Deployers & Platforms,1,Mythos Ventures,invested_in,"The firm has invested in four companies from the new fund, including Elicit, which is building an AI research assistant to automate scientific review",
1182,Evolution AI,organization,Deployers & Platforms,1,University College London,partner_of,"Partner: Evolution AI, GlaxoSmithKline Research and Development Ltd, Huawei",
1216,Formation Bio,organization,Deployers & Platforms,1,Emerson Collective,invested_in,"and a $372 million round for Formation Bio, an AI-driven pharmaceutical company",
1192,IBM,organization,Deployers & Platforms,6,Columbia University; Coursera; Gavin Newsom; Mila - Quebec Artificial Intelligence Institute; Partnership on AI; SUNY Albany,funded_by; partner_of,"Industry partners include Amazon, DeepMind, Google, IBM, and Meta | IBM Generative AI Engineering Professional Certificate | Today, Governor Gavin Newsom announced California has signed agreements with four of the largest technology companies in the GenAI sector... Working with Google, Adobe, IBM, a",
1400,Jukedeck,organization,Deployers & Platforms,1,Ed Newton-Rex,founded,"In 2010 he founded Jukedeck, one of the first AI music generation startups",
1214,Khan Academy,organization,Deployers & Platforms,1,Gates Foundation,partner_of,"I saw firsthand how our partner Khan Academy's AI-powered teaching assistant, Khanmigo, is transforming",
1244,LandingAI,organization,Deployers & Platforms,1,DeepLearning.AI,affiliated,"We're part of an ecosystem of companies trying to build an AI-powered future through education, business, and more... LandingAI",
1170,LinkedIn,organization,Deployers & Platforms,1,Microsoft,subsidiary_of,"These principles steer decisions across Azure, Xbox, LinkedIn and generative AI",
1541,Mayo Clinic,organization,Deployers & Platforms,1,Goodfire,partner_of,"partnered with industry leaders like Arc Institute, Mayo Clinic, and Microsoft to deploy our technology",
1221,Perplexity AI,organization,Deployers & Platforms,2,American University; New York Times,critic_of; partner_of,Every Kogod student has access to Perplexity AI's Enterprise Pro on any device | The New York Times filed a lawsuit against Perplexity AI for copying Times journalism to deliver it to Perplexity's customers without permission or compensation,
1604,Piramidal,organization,Deployers & Platforms,1,Lionheart Ventures,invested_in,"Our AI portfolio includes Softmax, Anthropic, Goodfire, Gray Swan, Piramidal, and Lucid Computing",
1180,Quantexa,organization,Deployers & Platforms,1,University College London,partner_of,"UCL maintains strong partnerships with leading AI firms such as NVIDIA, Darktrace, Google DeepMind and Quantexa",
1321,ServiceNow,organization,Deployers & Platforms,2,Element AI; Mythos Ventures,funded_by; subsidiary_of,"On November 30, 2020, ServiceNow, a Californian cloud-based IT services company, announced it has signed an agreement to acquire Element AI | We are proud to be backed by:‍MetaplanetDelphi VenturesServiceNowThe Operating Group",
1403,TikTok,organization,Deployers & Platforms,1,Ed Newton-Rex,employed_by,"At ByteDance, Newton-Rex first led the AI music lab, then ran Product in Europe for TikTok",
1242,Workera,organization,Deployers & Platforms,1,DeepLearning.AI,affiliated,"We're part of an ecosystem of companies trying to build an AI-powered future through education, business, and more. Workera",
1378,X,organization,Deployers & Platforms,2,Elon Musk; xAI,employed_by; partner_of,"Elon Reeve Musk (/ˈiːlɒn/ EE-lon; born June 28, 1971) is a businessman and entrepreneur known for his leadership of Tesla, SpaceX, X, and xAI | On March 28, 2025, Musk announced that xAI acquired sister company X",
1325,Amnesty International,organization,Ethics/Bias/Rights,1,Element AI,partner_of,"In December 2018, Element AI also partnered with Amnesty International and released a study measuring online abuse against women in politics and journalism on Twitter",
1522,Human Rights Data Analysis Group,organization,Ethics/Bias/Rights,1,Partnership on AI,partner_of,Human Rights Data Analysis Group,
