row_num,funder,recipient,amount_usd,citation
19,Berkeley Existential Risk Initiative,Survival and Flourishing Fund,2000000.00,"BERI is granting $2MM from its organizational grants program to the Survival and Flourishing Fund(SFF), a new Donor Advised Fund at the Silicon Valley Community Foundation"
20,Bill & Melinda Gates Foundation,Brookings Institution,1000000.00,"$1,000,000 - $1,999,999 Bill & Melinda Gates Foundation"
21,Bill & Melinda Gates Foundation,Center for Strategic and International Studies (CSIS),250000.00,"Contributions $250,000 and up - Bill & Melinda Gates Foundation"
22,Bill & Melinda Gates Foundation,RAND Corporation,"","Notable campaign contributions include gifts and grants from: Grantmaking organizations including Arnold Ventures, Bill & Melinda Gates Foundation, Robert Wood Johnson Foundation and The Wallace Foundation to support research and analysis to improve health, education, safety, and we"
23,Bill & Melinda Gates Foundation,University of Washington,279000000.00,"The Bill & Melinda Gates Foundation is once again shattering donation records at the University of Washington, this time with a $279 million grant to continue and expand pioneering programs that measure health around the globe."
24,Center for AI Safety,Marc Carauleanu,"",They have previously investigated methods of reducing the risk of deception as a Summer Research Fellow at Stanford Existential Risks Initiative and the relevance of cognitive science literature for AI alignment funded by the Long-Term Future Fund and Center for AI Safety.
25,Elon Musk,Future of Humanity Institute,1330000.00,"Another benefactor was Elon Musk, who donated £1m in 2015."
26,Eric Schmidt,Entrepreneurs First,"","Our latest funding comes from some of the world's most experienced founders and investors, including John & Patrick Collison, Eric Schmidt, Charlie Songhurst, Aidan Gomez, Matt Cohler, Mati Staniszewski, Danny Rimer and Jeff Dean, alongside leading institutional investors including Greylock."
27,Eric and Wendy Schmidt,Richard Zemel,"",Funding provided by Eric and Wendy Schmidt
28,Facebook,Ellie Pavlick,37000.00,"Ellie Pavlick, a fourth-yearPhD student studying natural language processing in the department of computer & information science in Penn's School of Engineering & Applied Science, is one of 12 2016-2017 Facebook Fellows. Each winner receives a two-year fellowship that includes payment of tuition and"
29,Founders Fund,Facebook,"","Founders Fund was the first institutional investor in Space Exploration Technologies (SpaceX) and Palantir Technologies, and an early investor in Facebook."
30,Founders Fund,Palantir Technologies,"","Founders Fund was the first institutional investor in Space Exploration Technologies (SpaceX) and Palantir Technologies, and an early investor in Facebook."
31,Future of Humanity Institute,AI Impacts,8700.00,"We are grateful to the Future of Humanity Institute(FHI) for $8,700 to support work on the project until September 2015"
32,Future of Life Institute,Future of Humanity Institute,1330000.00,"The Future of Humanity Institute, part of the Oxford Martin School, and the Centre for the Study of Existential Risk at Cambridge University are to receive a £1m grant for policy and technical research into the development of machine intelligence. The grant is from the Future of Life Institute in Bo"
33,Future of Life Institute,Machine Intelligence Research Institute,250000.00,"$250,000 will go to our research program over the course of three years. This will go towards running workshops and funding a few person-years of research on the open problems discussed in our technical agenda."
34,Good Ventures,Future of Humanity Institute,17308000.00,Oxford University's Future of Humanity Institute (FHI) is to benefit from a donation of up to £13.3 million from the philanthropic organisations Good Ventures and the Open Philanthropy Project.
35,Google.org,AI4ALL,2000000.00,"AI4ALL, a nonprofit dedicated to creating a more inclusive and human-centered AI future, is excited to announce a $2 million grant from Google.org."
36,Google.org,Center for Long-Term Cybersecurity,2200000.00,"The Center for Long-Term Cybersecurity (CLTC) has received a $2.2 million grant as part of the Google Cybersecurity Clinics Fund, a multi-million dollar initiative launched by Google.org"
37,Google.org,Center for Security and Emerging Technology,2000000.00,The Center for Security and Emerging Technology at Georgetown University has been awarded $2 million from Google.org to make scientific research more accessible.
38,Google.org,Center for Security and Emerging Technology (CSET),2000000.00,The Center for Security and Emerging Technology at Georgetown University has been awarded $2 million from Google.org to make scientific research more accessible.
39,Google.org,Georgetown University,2000000.00,The Center for Security and Emerging Technology at Georgetown University has been awarded $2 million from Google.org to make scientific research more accessible.
40,Google.org,Humane Intelligence,"","Thanks to the generous support of Google.org's Scientific Ecosystem team, I am thrilled to announce that our proposal to release our AI red teaming app under an open source software (OSS) license has been fully funded!"
41,Google.org,Stony Brook University,"","Stony Brook University has partnered with the Long Island Association (LIA) and its philanthropic arm, the LIA Foundation, to launch the LIA-AI Growth Academy, a free artificial intelligence training program funded by Google.org to provide practical guidance on AI tools to help small businesses scal"
42,Greylock,Entrepreneurs First,12400000.00,"Entrepreneur First is partnering with some of the world's most renowned investors to scale our mission of enabling the world's most ambitious people to become founders. are leading a $12.4m funding round, alongside , and Lakestar."
43,Greylock,Entrepreneurs First,"","Our latest funding comes from some of the world's most experienced founders and investors, including John & Patrick Collison, Eric Schmidt, Charlie Songhurst, Aidan Gomez, Matt Cohler, Mati Staniszewski, Danny Rimer and Jeff Dean, alongside leading institutional investors including Greylock."
44,In-Q-Tel,Palantir Technologies,107500000.00,"Palantir Technologies, the data-mining company that is partly backed by the Central Intelligence Agency, has raised another $107.5 million, according to a filing. Backers include Thiel's Founders Fund and the CIA's venture arm, In-Q-Tel."
45,Jaan Tallinn,Berkeley Existential Risk Initiative,2000000.00,BERI has received approximately $2 million in donations from entrepreneur and philanthropist Jaan Tallinn to establish a grants program for supporting organizations and individuals doing work that we believe will reduce existential risks for humanity.
46,Jaan Tallinn,Berkeley Existential Risk Initiative,7000000.00,"As of July 2022, BERI has received >$7 million in funding (both for general support and collaborations with other organizations) from Jaan Tallinn"
47,Jaan Tallinn,Machine Intelligence Research Institute,1631447.00,"Jaan Tallinn | $1,631,447"
48,John Collison,Entrepreneurs First,"","Our latest funding comes from some of the world's most experienced founders and investors, including John & Patrick Collison, Eric Schmidt, Charlie Songhurst, Aidan Gomez, Matt Cohler, Mati Staniszewski, Danny Rimer and Jeff Dean, alongside leading institutional investors including Greylock."
49,John Collison,Entrepreneurs First,200000000.00,"Their latest investment was in Entrepreneurs First as part of their Series D on March 11, 2026."
50,John D. and Catherine T. MacArthur Foundation,Human Rights Data Analysis Group,"","HRDAG's funding comes from private, international donors: the John D. and Catherine T. MacArthur Foundation, Open Society Foundations, an anonymous U.S.-based private foundation, Ford Foundation, The National Endowment for Democracy and individual donors."
51,John D. and Catherine T. MacArthur Foundation,Latanya Sweeney,250000.00,"In 2015, Latanya Sweeney received a $250,000 grant from the John D. and Catherine T. MacArthur Foundation to engage a network of scholars and students across the country to explore and scientifically investigate the unforeseen consequences of technology."
52,John D. and Catherine T. MacArthur Foundation,Ruha Benjamin,800000.00,"Each of the 22 fellows in this year's class will receive an $800,000 ""no-strings-attached"" award to be distributed in installments over the next five years."
53,John D. and Catherine T. MacArthur Foundation,Yejin Choi,800000.00,"The fellowship from the John D. and Catherine T. MacArthur Foundation comes with an $800,000 stipend, commonly known as the 'genius grant,' for recipients to use as they see fit."
54,John D. and Catherine T. MacArthur Foundation,danah boyd,"","My research has been or is funded by many foundations, including the John D. and Catherine T. MacArthur Foundation, the John S. and James L. Knight Foundation, the Ford Foundation, the Alfred P. Sloan Foun"
55,Machine Intelligence Research Institute,Computational Rational Agents Laboratory (CORAL),"",We thank the Machine Intelligence Research Institute for supporting our research agenda before the official establishment of CORAL.
56,Mike Krieger,Open Philanthropy Project,675000.00,"Kaitlyn and Mike have made a financial commitment of $750,000 over the next two years. 10% will go to GiveWell to support operations related to the Open Philanthropy Project. 90% will be allocated to grants identified and recommended through the Open Philanthropy Project process."
57,NSF,Center for Community-Engaged Artificial Intelligence,"","CEAI faculty are supported by awards from the NSF, NIH, and NEH for projects focusing on AI applied to health, criminal justice, micro-finance, social media, and artistic innovation."
58,NSF,Nathan Lambert,"","NSF Graduate Research Fellowship Program Honorable Mention 2017, 2018"
59,NSF,Pieter Abbeel,"",RI: Small: Large-Scale Machine Learning for Connectomics - Pieter Abbeel
60,NSF,Rob Fergus,"",NSF Faculty Early Career Development Program(CAREER)
61,NSF,Sebastian Thrun,"","NSF CAREER Award, March 1999--February 2003."
62,NSF,Swati Gupta,"",She received the NSF CISE Research Initiation Initiative (CRII) Award in 2019.
63,NSF,William Bialek,"","BRAIN EAGER: Toward a Theory of Real Neural Networks Bialek, W.(PI) NSF - National Science Foundation"
64,National Science Foundation,AI Research Institute on Interaction for AI Assistants (ARIA),20000000.00,"In July, the National Science Foundation (NSF) announced a five-year, $20 million grant to create the AI Research Institute on Interaction for AI Assistants (ARIA)."
65,National Science Foundation,Anca Dragan,"","For pioneering interdisciplinary work in human-robot interactions, combining control, planning, learning, and cognition to produce computational models that enable robots to coordinate and interact with humans collaboratively; and for an outstanding record in outreach, mentoring students, and commun"
66,National Science Foundation,Anna Leshinskaya,"","Her previous work, supported by the National Science Foundation and John Templeton Foundation, has been published in journals such as Cerebral Cortex, Neuroscience and Philosophy, Cognition, the Journal of Cognitive Neuroscience, the Journal of Experimental Psychology: General, and others."
67,National Science Foundation,Annie Stephenson,"",Annie also received the prestigious Graduate Research Fellowship from the National Science Foundation.
68,National Science Foundation,Arthur Spirling,"",Grants from the National Science Foundation supported this work (award numbers 1637108 and 1637159).
69,National Science Foundation,Arvind Narayanan,500000.00,"Princeton CS and CITP professor Arvind Narayanan was issued a grant by the National Science Foundation late last month, for the purpose of finding ways to 'Address the challenges of cryptocurrencies: Security, anonymity, stability.' The $500,000 grant is the smallest grant the NSF offers for researc"
70,National Science Foundation,Avi Goldfarb,"",I have received grants supporting my research from multiple sources including... the National Science Foundation (most recently 2018)
71,National Science Foundation,Brown University,20000000.00,"With a $20 million grant from the U.S. National Science Foundation, Brown University researchers will lead an artificial intelligence research institute aimed at developing a new generation of AI assistants capable of trustworthy, sensitive and context-aware interactions with people."
72,National Science Foundation,Carnegie Mellon University,"","A National Network for Critical Technology Assessment: A Pilot Fuchs, E.(PI), Brynjolfsson, E.(CoPI), Evans, J. A.(CoPI) & Sugimoto, C. R.(CoPI) CARNEGIE MELLON UNIVERSITY"
73,National Science Foundation,Clark Barrett,"","POSE: Phase II: An Open-Source Ecosystem for the cvc5 SMT Solver Barrett, C.(PI) & Tinelli, C.(CoPI) THE LELAND STANFORD JUNIOR UNIVERSITY"
74,National Science Foundation,Court Watch NOLA,1500000.00,The three-year project is funded by a $1.5 million grant from the National Science Foundation.
75,National Science Foundation,Dan Hendrycks,"",His research is supported by the NSF GRFP and the Open Philanthropy AI Fellowship.
76,National Science Foundation,Daniela Rus,"","She has received an NSF Career Award (1996), the Honda Initiation Award (1999), and a Sloan Foundation Fellowship (1998)."
77,National Science Foundation,David Autor,"",Autor has received recognition for both his scholarship—through the National Science Foundation CAREER Award
78,National Science Foundation,Duy Nguyen,500000.00,"Nguyen has earned an NSF CAREER Award in the amount of $500,000 over the next five years for his research on wireless communications, signal processing, and machine learning."
79,National Science Foundation,Emily Bender,"","The US National Science Foundation has awarded a new research grant on ""AGGREGATION: Automatic Generation of Grammars for Endangered Languages from Glosses and Typological Information"" to Emily Bender from the Univesity of Washington."
80,National Science Foundation,Emory University,9200000.00,"The National Science Foundation (NSF) has awarded $9.2 million to Emory University to support the expansion of the National Organization of Research Development Professionals (NORDP) Consultants Program, which is dedicated to diversifying the U.S. research ecosystem."
81,National Science Foundation,Erik Brynjolfsson,"","he has been a co-principal investigator on several grants from the National Science Foundation to study IT, organizational transformation, and productivity."
82,National Science Foundation,Giles Hooker,"",2011 NSF CAREER Award
83,National Science Foundation,Jared Kaplan,"","2015, CAREER Award, National Science Foundation"
84,National Science Foundation,Kate Kellogg,"","Her research has won awards from the Academy of Management, the American Sociological Association, the Alfred P. Sloan Foundation, the Institute for Operations Research and the Management Sciences, and the National Science Foundation."
85,National Science Foundation,MIT CSAIL,20000000.00,"The National Science Foundation (NSF) announced today an investment of $220 million to establish 11 artificial intelligence (AI) institutes, each receiving $20 million over five years. One of these, The Institute for Learning-enabled Optimization at Scale (TILOS), will be led by the University of Ca"
86,National Science Foundation,MIT FutureTech,"","The FutureTech project is supported by grants from Open Philanthropy, the National Science Foundation, Accenture, IBM, the MIT-Air Force AI accelerator, and the MIT Lincoln Laboratory."
87,National Science Foundation,ML4Good Laboratory - New York University,625000.00,"Funding amount: $1,000,000 (total, including $625,000 NSF grant and $375,000 unrestricted gifts from Amazon)"
88,National Science Foundation,ML4Good Laboratory - New York University,"",The ML4G Lab gratefully acknowledges funding support from the National Science Foundation under grant IIS-1926470 (Neill)
89,National Science Foundation,Metaculus,175000.00,"Latest Funding Round $175 K (USD), Grant Aug 01, 2024 Investors National Science Foundation"
90,National Science Foundation,Michael Littman,"","While retaining his role at Brown, Michael will oversee AI-related research funding and coordinate AI efforts between government agencies in his new role."
91,National Science Foundation,New York University,4500000.00,"Today, Majority Leader Chuck Schumer and U.S. Senator Kirsten Gillibrand announced $4,500,000 in federal funding for the development of machine learning models at New York University. The federal funding was allocated through the National Science Foundation and will be used to establish new technolo"
92,National Science Foundation,Olga Troyanskaya,"","She holds a Ph.D. in biomedical informatics from Stanford University, and is a recipient of the Sloan Research Fellowship, the National Science Foundation CAREER award"
93,National Science Foundation,Priya Donti,"","At CMU, I held the U.S. Department of Energy Computational Science Graduate Fellowship, the Siebel Scholarship, and the NSF Graduate Research Fellowship."
94,National Science Foundation,Regina Barzilay,"",National Science Foundation CAREER Award (2005)
95,National Science Foundation,Roman Yampolskiy,"",There he was a recipient of a four year NSF (National Science Foundation) IGERT (Integrative Graduate Education and Research Traineeship) fellowship.
96,National Science Foundation,Ryan Calo,"","He has organized events on behalf of the National Science Foundation, the National Academy of Sciences, and the Obama White House."
97,National Science Foundation,Sam Rodriques,"","He has received numerous national awards and fellowships to support his research, including the Hertz Foundation Graduate Fellowship, an NSF Graduate Research Fellowship and a Churchill Scholarship."
98,National Science Foundation,Scott A. Strobel,"","In this U.S.-Peru collaborative project supported by the Americas Program of the Office of International Science and Engineering, Dr. Scott A. Strobel of Yale University will perform an experiment in inquiry-based undergraduate science training involving field, classroom, and laboratory experiences."
99,National Science Foundation,Scott Aaronson,1000000.00,"In addition to a medal, each of this year's awardees will receive a $1 million grant — twice the amount of last year's award — over a five-year period for further advanced study in his field."
100,National Science Foundation,Sinan Aral,475000.00,"Sinan Aral, NYU Stern Assistant Professor of Information, Operations and Management Sciences, has been recognized by the National Science Foundation (NSF) with its Faculty Early Career Development Award (CAREER). As part of this award, he will receive $475,000 to support his latest research."
101,National Science Foundation,Speed School of Engineering,1000000.00,"Speed School Awarded $1 Million Grant to ""Build a Better Battery"""
102,National Science Foundation,Stanford Digital Economy Lab,"",The Lab could not be more grateful for the support we've received. Foundations & Philanthropies... National Science Foundation
103,National Science Foundation,UC Berkeley,12500000.00,The National Science Foundation has awarded $12.5 million to establish a multidisciplinary institute—a collaboration between UC Berkeley and MIT—to improve our understanding of critical issues in data science.
104,National Science Foundation,UC Berkeley,3000000.00,"The program, called Computational Research for Equity in the Legal System(CRELS), is being made possible with a $3-million National Science Foundation grant."
105,National Science Foundation,Vincent Conitzer,500000.00,"Conitzer is a 2010 recipient of a prestigious National Science Foundation CAREER Award, a competitive $500,000 grant distributed over five years to support the early career work of effective and exemplary faculty."
106,Open Philanthropy,"80,000 Hours",3457284.00,"Open Philanthropy recommended a grant of $3,457,284 to 80,000 Hours for general support."
107,Open Philanthropy,AI Impacts,"","AI Impacts is supported by Open Philanthropy, the Survival and Flourishing Fund, and other private donors."
108,Open Philanthropy,Adam Gleave,"",I was fortunate to be part of the Center for Human-Compatible AI during my PhD and funded by an Open Philanthropy Fellowship.
109,Open Philanthropy,Aidan Gomez,2000000.00,"Aidan Gomez has been awarded Open Philanthropy's Fellowship in AI. The Open Philanthropy Project awarded approximately $2,000,000 over five years in PhD fellowship support to eight promising machine learning researchers."
110,Open Philanthropy,Anthropic,580000000.00,Anthropic investment $580M+ Created major safety-focused AI lab
111,Open Philanthropy,Association for Long Term Existence and Resilience (ALTER),"",Funded by SFF and Open Philanthropy
112,Open Philanthropy,Berkeley Existential Risk Initiative,403890.00,"$403,890 in July 2017 for core support and CHAI collaboration"
113,Open Philanthropy,Berkeley Existential Risk Initiative,3300000.00,"As of July 2022, BERI has received >$3.3 million from Open Philanthropy"
114,Open Philanthropy,Cambridge Boston Alignment Initiative,"",Cambridge Boston Alignment Initiative General Support for MIT AI Alignment
115,Open Philanthropy,Center for Security and Emerging Technology,8000000.00,"Open Philanthropy recommended a grant of $8,000,000 to the Center for Security and Emerging Technology (CSET), via Georgetown University, for general support."
116,Open Philanthropy,Center for Security and Emerging Technology,42000000.00,"The Center for Security and Emerging Technology, a nonpartisan technology and policy research organization at the School of Foreign Service, received the donation from Open Philanthropy, a foundation that distributes grants to organizations focused on science and technology research."
117,Open Philanthropy,Center for Security and Emerging Technology (CSET),55000000.00,"The Open Philanthropy Project recommended a grant of $55,000,000 over five years to Georgetown University to launch the Center for Security and Emerging Technology (CSET), a new think tank dedicated to policy analysis at the intersection of national and international security and emerging technologi"
118,Open Philanthropy,Center for Security and Emerging Technology (CSET),42000000.00,"The Center for Security and Emerging Technology, a nonpartisan technology and policy research organization at the School of Foreign Service, received the donation from Open Philanthropy, a foundation that distributes grants to organizations focused on science and technology research."
119,Open Philanthropy,Centre for Long-Term Resilience,4000000.00,Open Philanthropy has committed to a grant to CLTR of £4 million over the next three years.
120,Open Philanthropy,Court Watch NOLA,35000.00,"Open Philanthropy recommended a grant of $35,000 to Court Watch NOLA (CWN) to support coordination of a coalition of community groups working on criminal justice reform in New Orleans."
121,Open Philanthropy,Dan Hendrycks,"",His research is supported by the NSF GRFP and the Open Philanthropy AI Fellowship.
122,Open Philanthropy,David Krueger,"",This follows our April 2021 support for Professor Krueger's research and falls within our focus area of potential risks from advanced artificial intelligence.
123,Open Philanthropy,Effective Ventures Foundation,460000.00,"Open Philanthropy recommended a grant of $460,000 to the Effective Ventures Foundation (EVF) to support spinout costs for the Centre for Effective Altruism, which works to build and support..."
124,Open Philanthropy,Effective Ventures Foundation,59344.00,"Open Philanthropy recommended a grant of $59,344 to support a summit in the UK bringing together representatives of organizations working on raising funds for effective charities. The grant will be administered by the Effective Ventures Foundation."
125,Open Philanthropy,Effective Ventures Foundation,500000.00,"Open Philanthropy recommended a grant of $500,000 to the Effective Ventures Foundation to support an office space in Oxford."
126,Open Philanthropy,Epoch AI,1960000.00,We have received $1.96M in funding through a grant from Open Philanthropy.
127,Open Philanthropy,Founders Pledge,4000000.00,"Founders Pledge, a global nonprofit empowering entrepreneurs to do the most good possible with their charitable giving, today announced that it has been awarded a significant grant from Open Philanthropy totalling $4 million, designated for general operating support over the next two years (2025 and"
128,Open Philanthropy,Founders Pledge,1000000.00,"Open Philanthropy recommended a grant of $1,000,000 to Founders Pledge for general support."
129,Open Philanthropy,Georgetown University,55000000.00,"The Open Philanthropy Project recommended a grant of $55,000,000 over five years to Georgetown University to launch the Center for Security and Emerging Technology (CSET), a new think tank dedicated to policy analysis at the intersection of national and international security and emerging technologi"
130,Open Philanthropy,Giving What We Can,"","As of early 2025, ~50% of our funding comes from Open Philanthropy."
131,Open Philanthropy,Institute for AI Policy and Strategy (IAPS),"","IAPS's work is primarily funded by a mix of philanthropic grants and individual gifts—including support to date from Open Philanthropy, the Survival and Flourishing Fund, allied government, and individual donors."
132,Open Philanthropy,Jacob Steinhardt,100000.00,"Open Philanthropy(filter this donee) | 100,000.00 | 100,000.00"
133,Open Philanthropy,Joelle Pineau,800000.00,"$1.6 million of this grant will support Professor Yoshua Bengio and his co-investigators at the Université de Montréal, and $800,000 will support Professors Joelle Pineau and Doina Precup at McGill University."
134,Open Philanthropy,Johns Hopkins University,55000.00,"Open Philanthropy recommended a grant of $55,000 to Johns Hopkins University to support the initial research of Professors Jared Kaplan and Brice Ménard on principles underlying neural network training and performance."
135,Open Philanthropy,LTFF,3500000.00,"Open Phil is offering 2:1 ($2 from them for every $ from you) donation matching for the next 6 months, up to the first $3.5M from them."
136,Open Philanthropy,London Initiative for Safe AI,739105.00,"Open Philanthropy recommended a grant of £563,600 (approximately $739,105 at the time of conversion) to the London Initiative for Safe AI (LISA) for general support."
137,Open Philanthropy,London Initiative for Safe AI,821248.00,"Open Philanthropy recommended a grant of £640,000 (approximately $821,248 at the time of conversion) over two years to the London Initiative for Safe AI to support a London coworking space for researchers and other professionals working on AI safety."
138,Open Philanthropy,Long-Term Future Fund,3500000.00,"Open Phil is offering 2:1 ($2 from them for every $ from you) donation matching for the next 6 months, up to the first $3.5M from them."
139,Open Philanthropy,MIT FutureTech,"","The FutureTech project is supported by grants from Open Philanthropy, the National Science Foundation, Accenture, IBM, the MIT-Air Force AI accelerator, and the MIT Lincoln Laboratory."
140,Open Philanthropy,Metaculus,5500000.00,"It's with great excitement that we announce Metaculus has been awarded a $5.5M grant from Open Philanthropy to fund additional hiring and platform development in support of high-impact forecasting programs on AI, biosecurity, climate change, nuclear security, and other topics."
141,Open Philanthropy,Michel Justen,13000.00,"Open Philanthropy recommended a grant of $13,000 to Michel Justen to support him as he explores career options that could be highly impactful."
142,Open Philanthropy,NYU Alignment Research Group,"","Our initial funding is coming from Open Philanthropy, for a starting project inspired by AI Safety Via Debate."
143,Open Philanthropy,Ought,2593333.00,"$2,593,333 from Open Philanthropy($260,000 of this is made possible by a funding partnership with Longview Philanthropy and Ben Delo)"
144,Open Philanthropy,Palisade Research,"",Palisade Research General Support
145,Open Philanthropy,Percy Liang,25000.00,"Open Philanthropy previously made a $25,000 planning grant to Professor Liang in March 2017 to enable him to spend substantial time engaging with Open Philanthropy's process to determine whether to proceed with this larger award."
146,Open Philanthropy,Probably Good,"","Open Philanthropy recently provided us with a grant to grow our team and sustain our work for the next 18 months, as part of their new grantmaking program for EA and global health and well-being."
147,Open Philanthropy,Probably Good,300000.00,"Open Philanthropy recommended a grant of $300,000 to Probably Good for general support."
148,Open Philanthropy,RAISEimpact,"",RAISEimpact is fully funded by Open Philanthropy.
149,Open Philanthropy,Redwood Research,9420000.00,"General Support - $9,420,000 November 2021 Lead Investor: Open Philanthropy"
150,Open Philanthropy,Scott Aaronson,"","I'm receiving a large grant from the wonderful Open Philanthropy, to build up a group of students and postdocs over the next few years, here at UT Austin, to do research in theoretical computer science that's motivated by AI alignment."
151,Open Philanthropy,Simon Institute for Longterm Governance,"",Navigating Transformative AI | Coefficient Giving Skip to Content
152,Open Philanthropy,Stanford Digital Economy Lab,"",The Lab could not be more grateful for the support we've received. Foundations & Philanthropies... Open Philanthropy
153,Open Philanthropy,Successif,778570.00,"Open Philanthropy recommended two grants totaling $778,570 to Successif, which provides career advice to experienced professionals to help them have a higher impact with their careers."
154,Open Philanthropy,Tan Zhi Xuan,"",Xuan was a recipient of the Open Philanthropy AI Fellowship in 2021 and the A*STAR National Science Scholarship in 2013.
155,Open Philanthropy,The Vista Institute for AI Policy,"",https://www.openphilanthropy.org/grants/the-vista-institute-for-ai-policy-ai-law-field-building/
156,Open Philanthropy,Trajectory Labs,"","This nonprofit, funded by Open Philanthropy and operational since January 2025, aims to tap into Toronto's potential to contribute meaningfully to AI safety."
157,Open Philanthropy,Transformer,"","Transformer is a project of the Tarbell Center for AI Journalism. Transformer is primarily funded by Coefficient Giving (formerly known as Open Philanthropy), and Tarbell has a range of other funders (all listed here)."
158,Open Philanthropy,UC Berkeley,5555550.00,"The Open Philanthropy Project awarded a grant of $5,555,550 over five years to UC Berkeley to support the launch of a Center for Human-Compatible Artificial Intelligence (AI), led by Professor Stuart Russell."
159,Open Philanthropy,University of Oxford,"",New research at the Blavatnik School of Government on how to protect advanced AI systems from malicious attacks has been supported by a grant from Open Philanthropy.
160,Open Philanthropy,Yoshua Bengio,1600000.00,"$1.6 million of this grant will support Professor Yoshua Bengio and his co-investigators at the Université de Montréal, and $800,000 will support Professors Joelle Pineau and Doina Precup at McGill University."
161,Open Philanthropy Project,David Chalmers,"","The Open Philanthropy Project spoke with Professor Chalmers of NYU as part of its investigation into which types of beings should be of moral concern, and thus a potential target for the Open Philanthropy Project's grantmaking."
162,Open Philanthropy Project,Founders Pledge,"","The grant [from Moskovitz] was made by the Open Philanthropy Project, a joint venture between Good Ventures (Dustin and [wife] Cari's investment vehicle) and GiveWell."
163,Open Philanthropy Project,Future of Life Institute,7000000.00,"The Boston-based Future of Life Institute (FLI) announced the selection of 37 research teams around the world to which it plans to award about $7 million from Elon Musk and the Open Philanthropy Project as part of a first-of-its-kind grant program dedicated to ""keeping AI robust and beneficial""."
164,Open Philanthropy Project,Georgetown University,55000000.00,"The Open Philanthropy Project recommended a grant of $55,000,000 over five years to Georgetown University to launch the Center for Security and Emerging Technology (CSET), a new think tank dedicated to policy analysis at the intersection of national and international security and emerging technologi"
165,Open Philanthropy Project,Global Priorities Institute,3298715.00,"Open Philanthropy recommended a grant of$3,298,715 to the Global Priorities Institute (GPI), via the University of Oxford, for general support."
